prop	clks	bids	imps	budget	spend	algo	para
16	151	153678	58097	2826028	2826102	lin	240
16	146	146289	57412	2826028	2826268	lin	250
16	140	139407	56724	2826028	2826114	lin	260
16	130	132653	55950	2826028	2826063	lin	270
16	125	128033	55613	2826028	2826040	lin	280
16	125	123809	54949	2826028	2826102	lin	290
16	121	120645	54629	2826028	2826091	lin	300
16	116	117301	54196	2826028	2826032	lin	310
16	114	114214	53706	2826028	2826169	lin	320
16	113	111804	53591	2826028	2826053	lin	330
16	112	109676	53611	2826028	2826077	lin	340
16	113	107498	53470	2826028	2826066	lin	350
16	109	104842	52878	2826028	2826076	lin	360
16	105	102845	52785	2826028	2826061	lin	370
16	101	100940	52548	2826028	2826075	lin	380
16	96	98798	52343	2826028	2826093	lin	390
16	95	96493	51966	2826028	2826051	lin	400
16	86	86903	50652	2826028	2826050	lin	450
16	79	80529	49478	2826028	2826032	lin	500
16	73	75531	48664	2826028	2826095	lin	550
16	71	71482	47866	2826028	2826049	lin	600
16	65	68553	47487	2826028	2826030	lin	650
16	64	66111	47056	2826028	2826050	lin	700
16	60	63480	46409	2826028	2826044	lin	750
16	473	614638	38858	2826028	816763	mcpc	1
16	0	614638	2	2826028	2	const	2
16	0	614638	4	2826028	7	const	4
16	3	614638	11130	2826028	52394	const	6
16	3	614638	15785	2826028	82965	const	8
16	5	614638	20922	2826028	126505	const	10
16	5	614638	30335	2826028	223802	const	12
16	9	614638	37758	2826028	316741	const	14
16	12	614638	49115	2826028	481174	const	16
16	14	614638	60480	2826028	668270	const	18
16	19	614638	74342	2826028	926827	const	20
16	31	614638	110642	2826028	1682897	const	25
16	39	614638	128698	2826028	2168756	const	30
16	37	584376	146179	2826028	2826051	const	35
16	40	498861	137011	2826028	2826030	const	40
16	42	382131	123073	2826028	2826037	const	45
16	40	334771	116242	2826028	2826048	const	50
16	51	227472	97784	2826028	2826032	const	55
16	47	200255	91184	2826028	2826035	const	60
16	43	180816	86265	2826028	2826057	const	65
16	42	168668	82809	2826028	2826032	const	70
16	43	100865	67056	2826028	2826050	const	75
16	44	93622	65016	2826028	2826094	const	80
16	43	82115	61545	2826028	2826030	const	85
16	43	77290	60004	2826028	2826078	const	90
16	41	75777	59527	2826028	2826045	const	95
16	41	72586	58282	2826028	2826033	const	100
16	40	68140	56578	2826028	2826046	const	110
16	40	65479	55426	2826028	2826076	const	120
16	38	63934	54632	2826028	2826049	const	130
16	37	61608	53400	2826028	2826098	const	140
16	35	58437	51719	2826028	2826062	const	150
16	30	55555	50123	2826028	2826031	const	160
16	31	53778	49235	2826028	2826054	const	170
16	31	52588	48490	2826028	2826070	const	180
16	31	51831	48027	2826028	2826033	const	190
16	31	50719	47280	2826028	2826075	const	200
16	32	48983	46131	2826028	2826096	const	210
16	32	47491	45124	2826028	2826048	const	220
16	32	46106	44198	2826028	2826080	const	230
16	31	44800	43302	2826028	2826064	const	240
16	32	42464	41661	2826028	2826052	const	250
16	31	41508	40987	2826028	2826121	const	260
16	32	41030	40649	2826028	2826077	const	270
16	33	40617	40330	2826028	2826036	const	280
16	33	40018	39869	2826028	2826035	const	290
16	33	39614	39553	2826028	2826050	const	300
